% PARTICLE_ATTRIBUTES_CONTROLLERS_NAMES LostParticleAttributes ParticleIdNumber ParticleInitialCoordinates
% PARTICLE_ATTRIBUTES_CONTROLLER_DICT LostParticleAttributes size 1
% PARTICLE_ATTRIBUTES_CONTROLLER_DICT ParticleIdNumber size 1
% PARTICLE_ATTRIBUTES_CONTROLLER_DICT ParticleInitialCoordinates size 6
% BUNCH_ATTRIBUTE_DOUBLE charge   1
% BUNCH_ATTRIBUTE_DOUBLE classical_radius   1.5347e-18
% BUNCH_ATTRIBUTE_DOUBLE macro_size   58926
% BUNCH_ATTRIBUTE_DOUBLE mass   0.938272
%  SYNC_PART_COORDS 0 0 0  x, y, z positions in [m]
%  SYNC_PART_MOMENTUM 0 0 0  px, py, pz momentum component in GeV/c
%  SYNC_PART_X_AXIS 1 0 0  nxx, nxy, pxz - x-axis ort coordinates
%  info only: energy of the synchronous particle [GeV] = 0
%  info only: momentum of the synchronous particle [GeV/c] = 0
%  info only: beta=v/c of the synchronous particle = 0
%  info only: gamma=1/sqrt(1-(v/c)**2) of the synchronous particle = 1
%  SYNC_PART_TIME 0  time in [sec]
% x[m] px[rad] y[m] py[rad] z[m]  (pz or dE [GeV]) Pos (m) Particle_Id_Number Initial Coordinates
-0.0014613789 0.0024155362 0.01760917 0.10744875 -0.00087528764 -1.1042926e-05 0.2425 110 -0.00031027663 -0.011810664 -0.0049141086 0.073626348 0.00076223057 -1.1042926e-05
0.00051007792 0.0057358309 -0.016652604 -0.10440409 -0.0011393412 -3.2446976e-06 0.2425 146 -0.00069761705 0.0044065497 0.0056558284 -0.075419879 8.4693876e-05 -3.2446976e-06
0.0013070279 -0.0081449512 0.016042594 0.10882008 -0.00071703306 9.1166053e-06 0.2425 196 0.0010160136 0.010285714 -0.0084920065 0.089990531 0.00011707251 9.1166053e-06
0.0034776734 -0.011253508 0.016142989 0.1043245 -0.00073365278 6.1799692e-06 0.2425 247 0.0014244322 0.027846286 -0.0065995418 0.07955228 0.00011587608 6.1799692e-06
0.00084798287 0.00080263374 -0.017088701 -0.10736255 -0.0024509041 -2.0146911e-06 0.2425 315 -8.8790733e-05 0.0069476654 0.0058800021 -0.077844136 -0.0012231557 -2.0146911e-06
0.001782325 -0.0064946749 0.016550293 0.10323975 -0.0015139947 1.4529668e-05 0.2425 373 0.00082186064 0.014230489 -0.0052904952 0.073401258 -0.0011748881 1.4529668e-05
0.0017336082 -0.015020727 -0.017030382 -0.10988965 -0.0014975489 5.0854917e-06 0.2425 474 0.0018634226 0.013460887 0.0069065148 -0.083590853 -0.00050541437 5.0854917e-06
-0.0014171636 0.0085110908 0.016788404 0.10704058 -0.00088680204 -7.2666304e-06 0.2425 542 -0.0010583042 -0.011189333 -0.0064141571 0.079961805 0.00062013803 -7.2666304e-06
-0.0012495371 0.0072570587 0.017185161 0.10637243 -0.00019873831 3.7913741e-06 0.2425 617 -0.00090523415 -0.0098635312 -0.0052604588 0.074717885 0.00070948236 3.7913741e-06
-0.00054304452 0.011691553 0.016668966 0.10458383 -0.0020823803 -6.0384819e-06 0.2425 773 -0.0014393529 -0.0039259364 -0.0057118743 0.075728857 -0.00071194248 -6.0384819e-06
0.0010528128 -0.0016530603 0.017224095 0.11234755 -0.00022301328 -4.9112715e-06 0.2425 819 0.00021405333 0.0085111116 -0.0075269875 0.087394421 0.001313943 -4.9112715e-06
-0.0033835849 0.014728442 0.016815043 0.10324532 -0.00021440801 2.4158096e-07 0.2425 937 -0.0018456 -0.02693654 -0.0048548706 0.071405756 0.00083736391 2.4158096e-07
1.4346312e-05 0.0039337905 -0.016809334 -0.10892879 -0.0033089311 -7.6918063e-06 0.2425 987 -0.00048222747 0.00028429748 0.0070956612 -0.083833589 -0.0017261359 -7.6918063e-06
0.0016192633 0.0022800219 0.01667832 0.10529212 0.00036431533 3.2526327e-06 0.2425 998 -0.00025952624 0.013302223 -0.0058924776 0.076930715 0.001306049 3.2526327e-06
-0.00090169002 0.00089190304 0.016525554 0.098487518 -0.00019947951 3.0924724e-06 0.2425 1090 -0.00012045097 -0.0073113045 -0.0036158806 0.063727631 0.00054021655 3.0924724e-06
0.0013573345 -0.0049531962 0.016136119 0.09842841 0.00073467176 1.1452218e-05 0.2425 1118 0.00062601482 0.010839234 -0.0043338272 0.066873112 0.0010983156 1.1452218e-05
-0.0007444923 0.0027503358 0.017258355 0.11139556 0.00087226514 1.0685483e-05 0.2425 1168 -0.00034737333 -0.0059440548 -0.0069670074 0.084636539 0.0016065074 1.0685483e-05
-0.0004443153 0.012551498 0.016705646 0.10499696 -0.0013001293 1.2074631e-06 0.2425 1213 -0.0015441415 -0.0030687236 -0.0057394874 0.076106598 -0.00027271557 1.2074631e-06
0.0023028733 -0.0059415504 0.016434698 0.10283218 -0.0025440678 2.0254888e-07 0.2425 1243 0.00075555412 0.018512416 -0.0054778657 0.073907895 -0.0015047695 2.0254888e-07
-0.0013223252 -0.00038993245 0.016653487 0.1067579 -0.00055327792 -1.0591123e-05 0.2425 1257 3.4985029e-05 -0.010794998 -0.0066090675 0.080641833 0.0011150297 -1.0591123e-05
0.0010198168 -0.0032730798 0.019366168 0.11937116 -0.00083910406 5.9309522e-06 0.2425 1301 0.00041435706 0.0081671692 -0.0057190992 0.083067024 0.00023443264 5.9309522e-06
0.0020043758 -0.0065952313 0.016516057 0.10177406 -9.4961799e-05 5.9849525e-06 0.2425 1350 0.00083429613 0.016044639 -0.0048658852 0.070778088 0.00061800575 5.9849525e-06
0.0012762413 -0.0040343321 -0.01660414 -0.098710816 -0.0025481649 -2.9746447e-06 0.2425 1433 0.00050890012 0.010228821 0.0035816741 -0.063648091 -0.0015078796 -2.9746447e-06
-0.0027650991 0.0069116578 0.01726612 0.10840036 -8.1585072e-05 6.4438942e-06 0.2425 1553 -0.00088310921 -0.022231867 -0.0058458901 0.078269935 0.00078134551 6.4438942e-06
