 Node   position   x[mm]   xp[mrad]   y[mm]   yp[mrad]
        HEBT2:HEBT_Mag:DCH30:1:drift  150.79098    3.5710  -1.3341  -4.5025  -1.2261
        HEBT2:HEBT_Mag:DCH30:2:drift  151.25203    2.9559  -1.3341  -5.0677  -1.2261
        HEBT2:HEBT_Mag:DCH30:3:drift  151.71308    2.3408  -1.3341  -5.6330  -1.2261
        HEBT2:HEBT_Mag:DCH30:4:drift  152.17413    1.7257  -1.3341  -6.1983  -1.2261
        HEBT2:HEBT_Mag:DCH30:5:drift  152.63518    1.1106  -1.3341  -6.7636  -1.2261
        HEBT2:HEBT_Mag:DCH30:6:drift  153.09623    0.4955  -1.3341  -7.3289  -1.2261
        HEBT2:HEBT_Mag:DCH30:7:drift  153.55728    -0.1196  -1.3341  -7.8941  -1.2261
            HEBT_Mag:QV31_fringe_out  154.06228    -0.8187  -1.4682  -7.9289  1.0900
         HEBT2:HEBT_Mag:QV31:1:drift  154.19293    -1.0105  -1.4682  -7.7865  1.0900
       HEBT2:HEBT_Diag:BPM31:1:drift  154.32992    -1.2116  -1.4682  -7.6372  1.0900
        HEBT2:HEBT_Mag:DCV31:1:drift  154.79098    -1.8885  -1.4682  -7.1347  1.0900
        HEBT2:HEBT_Mag:DCV31:2:drift  155.25203    -2.5654  -1.4682  -6.6322  1.0900
        HEBT2:HEBT_Mag:DCV31:3:drift  155.71308    -3.2423  -1.4682  -6.1296  1.0900
        HEBT2:HEBT_Mag:DCV31:4:drift  156.17413    -3.9192  -1.4682  -5.6271  1.0900
        HEBT2:HEBT_Mag:DCV31:5:drift  156.63518    -4.5961  -1.4682  -5.1246  1.0900
        HEBT2:HEBT_Mag:DCV31:6:drift  157.09623    -5.2730  -1.4682  -4.6221  1.0900
        HEBT2:HEBT_Mag:DCV31:7:drift  157.55728    -5.9498  -1.4682  -4.1195  1.0900
            HEBT_Mag:QH32_fringe_out  158.06228    -6.2427  0.3226  -3.8611  -0.0539
         HEBT2:HEBT_Mag:QH32:1:drift  158.19293    -6.2005  0.3226  -3.8681  -0.0539
       HEBT2:HEBT_Diag:BPM32:1:drift  158.55756    -6.0829  0.3226  -3.8878  -0.0539
       HEBT2:HEBT_Diag:BPM32:2:drift  158.92219    -5.9652  0.3226  -3.9075  -0.0539
        HEBT2:HEBT_Diag:WS32:1:drift  159.38470    -5.8160  0.3226  -3.9324  -0.0539
        HEBT2:HEBT_Diag:WS32:2:drift  159.84722    -5.6668  0.3226  -3.9573  -0.0539
        HEBT2:HEBT_Diag:WS32:3:drift  160.30973    -5.5176  0.3226  -3.9823  -0.0539
       HEBT2:HEBT_Diag:BCM32:1:drift  160.77621    -5.3671  0.3226  -4.0074  -0.0539
       HEBT2:HEBT_Diag:BCM32:2:drift  161.24268    -5.2166  0.3226  -4.0326  -0.0539
       HEBT2:HEBT_Diag:BCM32:3:drift  161.70916    -5.0661  0.3226  -4.0577  -0.0539
       HEBT2:HEBT_Diag:BCM32:4:drift  162.17563    -4.9156  0.3226  -4.0829  -0.0539
       HEBT2:HEBT_Diag:BCM32:5:drift  162.64211    -4.7651  0.3226  -4.1080  -0.0539
       HEBT2:HEBT_Diag:BCM32:6:drift  163.10858    -4.6146  0.3226  -4.1332  -0.0539
       HEBT2:HEBT_Diag:BCM32:7:drift  163.57506    -4.4641  0.3226  -4.1583  -0.0539
       HEBT2:HEBT_Diag:BCM32:8:drift  164.04153    -4.3136  0.3226  -4.1835  -0.0539
       HEBT2:HEBT_Diag:BPM33:1:drift  164.17229    -4.2714  0.3226  -4.1906  -0.0539
            HEBT_Mag:QV33_fringe_out  164.67729    -4.6217  -1.7375  -3.7266  1.8545
         HEBT2:HEBT_Mag:QV33:1:drift  165.03229    -5.2385  -1.7375  -3.0683  1.8545
            HEBT_Mag:QH34_fringe_out  165.53729    -5.5296  0.6055  -2.4347  0.6995
         HEBT2:HEBT_Mag:QH34:1:drift  165.95305    -5.2778  0.6055  -2.1439  0.6995
         HEBT2:HEBT_Mag:QH34:2:drift  166.36881    -5.0261  0.6055  -1.8531  0.6995
         HEBT2:HEBT_Mag:QH34:3:drift  166.78457    -4.7744  0.6055  -1.5623  0.6995
         HEBT_Mag:InjSptm_fringe_out  169.84857    -2.8934  0.6209  0.5811  0.6995
      HEBT2:HEBT_Mag:InjSptm:1:drift  170.31766    -2.6021  0.6209  0.9092  0.6994
      HEBT2:HEBT_Mag:InjSptm:2:drift  170.78676    -2.3109  0.6209  1.2373  0.6994
      HEBT2:HEBT_Mag:InjSptm:3:drift  171.25585    -2.0196  0.6209  1.5654  0.6994
      HEBT2:HEBT_Mag:InjSptm:4:drift  171.72494    -1.7284  0.6209  1.8935  0.6994
      HEBT2:HEBT_Mag:InjSptm:5:drift  172.19403    -1.4371  0.6209  2.2216  0.6994
                       Ring_Inj:Foil  173.04003    -0.9134  0.6207  2.8090  0.6942
       HEBT2:Ring_Mag:DH_A11:1:drift  173.58046    -0.5778  0.6204  3.1834  0.6923
       HEBT2:Ring_Mag:DH_A11:2:drift  174.02690    -0.3008  0.6204  3.4924  0.6923
