 037       MEBT:MEBT:ChpPlt:Entr:23:drift:0:UnifEllsSC:trMatrx  pos[m] = 0.99778  det(M) = 0.999893  0.998963  1.001142 
 038       MEBT:MEBT:ChpPlt:Entr:26:drift:0:UnifEllsSC:trMatrx  pos[m] = 1.02761  det(M) = 0.999884  0.998959  1.001154 
 039       MEBT:MEBT:ChpPlt:Entr:29:drift:0:UnifEllsSC:trMatrx  pos[m] = 1.05744  det(M) = 0.999875  0.998956  1.001165 
 040       MEBT:MEBT:ChpPlt:Entr:32:drift:0:UnifEllsSC:trMatrx  pos[m] = 1.08728  det(M) = 0.999866  0.998953  1.001177 
 041       MEBT:MEBT:ChpPlt:Entr:35:drift:0:UnifEllsSC:trMatrx  pos[m] = 1.11711  det(M) = 0.999857  0.998951  1.001190 
 042        MEBT:MEBT:ChpPlt:Exit:2:drift:0:UnifEllsSC:trMatrx  pos[m] = 1.14633  det(M) = 0.999848  0.998950  1.001202 
 043        MEBT:MEBT:ChpPlt:Exit:5:drift:0:UnifEllsSC:trMatrx  pos[m] = 1.17433  det(M) = 0.999840  0.998950  1.001215 
 044         MEBT:MEBT_Diag:WS04b:2:drift:0:UnifEllsSC:trMatrx  pos[m] = 1.20250  det(M) = 0.999832  0.998950  1.001228 
 045         MEBT:MEBT_Diag:WS04b:5:drift:0:UnifEllsSC:trMatrx  pos[m] = 1.23100  det(M) = 0.999823  0.998950  1.001241 
 046         MEBT:MEBT_Diag:WS04b:8:drift:0:UnifEllsSC:trMatrx  pos[m] = 1.25950  det(M) = 0.999815  0.998951  1.001256 
 047                  MEBT_RF:Bnch02:Rg01:0:UnifEllsSC:trMatrx  pos[m] = 1.28800  det(M) = 0.999806  0.998951  1.001270 
 048     MEBT:MEBT_RF:Bnch02:Rg01:4:drift:0:UnifEllsSC:trMatrx  pos[m] = 1.31688  det(M) = 0.999816  0.998954  1.001291 
 049     MEBT:MEBT_RF:Bnch02:Rg01:7:drift:0:UnifEllsSC:trMatrx  pos[m] = 1.34575  det(M) = 0.999826  0.998956  1.001312 
 050                        MEBT_Mag:QH05:1:UnifEllsSC:trMatrx  pos[m] = 1.37325  det(M) = 0.999835  0.998958  1.001331 
 051                        MEBT_Mag:QH05:4:UnifEllsSC:trMatrx  pos[m] = 1.39800  det(M) = 0.999831  0.998956  1.001339 
 052                        MEBT_Mag:QH05:7:UnifEllsSC:trMatrx  pos[m] = 1.42275  det(M) = 0.999839  0.998946  1.001363 
 053           MEBT:MEBT_Mag:QH05:3:drift:0:UnifEllsSC:trMatrx  pos[m] = 1.44800  det(M) = 0.999872  0.998926  1.001422 
 054                        MEBT_Mag:QV06:1:UnifEllsSC:trMatrx  pos[m] = 1.47325  det(M) = 0.999903  0.998907  1.001478 
 055                        MEBT_Mag:QV06:4:UnifEllsSC:trMatrx  pos[m] = 1.49800  det(M) = 0.999906  0.998904  1.001491 
 056                        MEBT_Mag:QV06:7:UnifEllsSC:trMatrx  pos[m] = 1.52275  det(M) = 0.999908  0.998904  1.001501 
 057           MEBT:MEBT_Mag:QV06:3:drift:0:UnifEllsSC:trMatrx  pos[m] = 1.54800  det(M) = 0.999937  0.998896  1.001553 
 058                        MEBT_Mag:QH07:1:UnifEllsSC:trMatrx  pos[m] = 1.57325  det(M) = 0.999966  0.998887  1.001607 
 059                        MEBT_Mag:QH07:4:UnifEllsSC:trMatrx  pos[m] = 1.59800  det(M) = 0.999977  0.998883  1.001634 
 060                        MEBT_Mag:QH07:7:UnifEllsSC:trMatrx  pos[m] = 1.62275  det(M) = 0.999975  0.998883  1.001640 
 061           MEBT:MEBT_Mag:QH07:3:drift:0:UnifEllsSC:trMatrx  pos[m] = 1.64780  det(M) = 0.999970  0.998884  1.001641 
 062                       MEBT_Diag:WS07:0:UnifEllsSC:trMatrx  pos[m] = 1.67300  det(M) = 0.999966  0.998886  1.001642 
 063          MEBT:MEBT_Diag:WS07:4:drift:0:UnifEllsSC:trMatrx  pos[m] = 1.69925  det(M) = 0.999962  0.998887  1.001643 
 064          MEBT:MEBT_Diag:WS07:7:drift:0:UnifEllsSC:trMatrx  pos[m] = 1.72550  det(M) = 0.999958  0.998889  1.001645 
 065        MEBT:MEBT_Diag:H_SCRP:2:drift:0:UnifEllsSC:trMatrx  pos[m] = 1.75253  det(M) = 0.999953  0.998890  1.001646 
 066        MEBT:MEBT_Diag:H_SCRP:5:drift:0:UnifEllsSC:trMatrx  pos[m] = 1.78112  det(M) = 0.999949  0.998891  1.001647 
 067        MEBT:MEBT_Diag:H_SCRP:8:drift:0:UnifEllsSC:trMatrx  pos[m] = 1.80971  det(M) = 0.999945  0.998893  1.001648 
 068       MEBT:MEBT_Diag:H_SCRP:11:drift:0:UnifEllsSC:trMatrx  pos[m] = 1.83829  det(M) = 0.999940  0.998894  1.001649 
 069       MEBT:MEBT_Diag:H_SCRP:14:drift:0:UnifEllsSC:trMatrx  pos[m] = 1.86688  det(M) = 0.999936  0.998895  1.001651 
 070       MEBT:MEBT_Diag:H_SCRP:17:drift:0:UnifEllsSC:trMatrx  pos[m] = 1.89547  det(M) = 0.999932  0.998897  1.001652 
 071                        MEBT_Mag:QH08:2:UnifEllsSC:trMatrx  pos[m] = 1.92150  det(M) = 0.999929  0.998898  1.001654 
 072                        MEBT_Mag:QH08:5:UnifEllsSC:trMatrx  pos[m] = 1.94625  det(M) = 0.999932  0.998899  1.001669 
 073           MEBT:MEBT_Mag:QH08:1:drift:0:UnifEllsSC:trMatrx  pos[m] = 1.97100  det(M) = 0.999948  0.998902  1.001713 
 074           MEBT:MEBT_Mag:QH08:4:drift:0:UnifEllsSC:trMatrx  pos[m] = 1.99650  det(M) = 0.999971  0.998905  1.001779 
 075                        MEBT_Mag:QV09:2:UnifEllsSC:trMatrx  pos[m] = 2.02150  det(M) = 0.999987  0.998907  1.001826 
 076                        MEBT_Mag:QV09:5:UnifEllsSC:trMatrx  pos[m] = 2.04625  det(M) = 0.999987  0.998908  1.001832 
 077           MEBT:MEBT_Mag:QV09:1:drift:0:UnifEllsSC:trMatrx  pos[m] = 2.07100  det(M) = 0.999989  0.998911  1.001861 
 078           MEBT:MEBT_Mag:QV09:4:drift:0:UnifEllsSC:trMatrx  pos[m] = 2.09650  det(M) = 0.999998  0.998915  1.001927 
 079                        MEBT_Mag:QH10:2:UnifEllsSC:trMatrx  pos[m] = 2.12150  det(M) = 1.000004  0.998919  1.001982 
 080                        MEBT_Mag:QH10:5:UnifEllsSC:trMatrx  pos[m] = 2.14625  det(M) = 1.000002  0.998921  1.002002 
 081           MEBT:MEBT_Mag:QH10:1:drift:0:UnifEllsSC:trMatrx  pos[m] = 2.17100  det(M) = 1.000002  0.998921  1.002015 
 082           MEBT:MEBT_Mag:QH10:4:drift:0:UnifEllsSC:trMatrx  pos[m] = 2.19988  det(M) = 1.000007  0.998922  1.002037 
 083           MEBT:MEBT_Mag:QH10:7:drift:0:UnifEllsSC:trMatrx  pos[m] = 2.22875  det(M) = 1.000011  0.998922  1.002060 
 084     MEBT:MEBT_RF:Bnch03:Rg01:2:drift:0:UnifEllsSC:trMatrx  pos[m] = 2.25770  det(M) = 1.000016  0.998921  1.002074 
 085     MEBT:MEBT_RF:Bnch03:Rg01:5:drift:0:UnifEllsSC:trMatrx  pos[m] = 2.28680  det(M) = 1.000027  0.998915  1.002072 
 086     MEBT:MEBT_RF:Bnch03:Rg01:8:drift:0:UnifEllsSC:trMatrx  pos[m] = 2.31590  det(M) = 1.000036  0.998910  1.002071 
 087    MEBT:MEBT_RF:Bnch03:Rg01:11:drift:0:UnifEllsSC:trMatrx  pos[m] = 2.34500  det(M) = 1.000045  0.998906  1.002071 
 088    MEBT:MEBT_RF:Bnch03:Rg01:14:drift:0:UnifEllsSC:trMatrx  pos[m] = 2.37410  det(M) = 1.000054  0.998901  1.002071 
 089    MEBT:MEBT_RF:Bnch03:Rg01:17:drift:0:UnifEllsSC:trMatrx  pos[m] = 2.40320  det(M) = 1.000062  0.998897  1.002071 
 090    MEBT:MEBT_RF:Bnch03:Rg01:20:drift:0:UnifEllsSC:trMatrx  pos[m] = 2.43230  det(M) = 1.000069  0.998892  1.002072 
 091           MEBT:MEBT_Diag:EMT:3:drift:0:UnifEllsSC:trMatrx  pos[m] = 2.46100  det(M) = 1.000076  0.998888  1.002074 
 092           MEBT:MEBT_Diag:EMT:6:drift:0:UnifEllsSC:trMatrx  pos[m] = 2.48950  det(M) = 1.000083  0.998885  1.002077 
 093        MEBT:MEBT_Diag:V_SCRP:3:drift:0:UnifEllsSC:trMatrx  pos[m] = 2.51875  det(M) = 1.000090  0.998881  1.002080 
 094        MEBT:MEBT_Diag:V_SCRP:6:drift:0:UnifEllsSC:trMatrx  pos[m] = 2.54838  det(M) = 1.000097  0.998877  1.002083 
 095                       MEBT_Diag:LBSM:0:UnifEllsSC:trMatrx  pos[m] = 2.57800  det(M) = 1.000103  0.998873  1.002087 
 096          MEBT:MEBT_Diag:LBSM:4:drift:0:UnifEllsSC:trMatrx  pos[m] = 2.60759  det(M) = 1.000110  0.998870  1.002092 
 097          MEBT:MEBT_Diag:LBSM:7:drift:0:UnifEllsSC:trMatrx  pos[m] = 2.63718  det(M) = 1.000117  0.998866  1.002097 
 098         MEBT:MEBT_Diag:LBSM:10:drift:0:UnifEllsSC:trMatrx  pos[m] = 2.66677  det(M) = 1.000124  0.998862  1.002102 
 099         MEBT:MEBT_Diag:LBSM:13:drift:0:UnifEllsSC:trMatrx  pos[m] = 2.69636  det(M) = 1.000132  0.998858  1.002108 
 100         MEBT:MEBT_Diag:LBSM:16:drift:0:UnifEllsSC:trMatrx  pos[m] = 2.72595  det(M) = 1.000141  0.998853  1.002115 
 101         MEBT:MEBT_Diag:LBSM:19:drift:0:UnifEllsSC:trMatrx  pos[m] = 2.75555  det(M) = 1.000151  0.998849  1.002122 
 102         MEBT:MEBT_Diag:LBSM:22:drift:0:UnifEllsSC:trMatrx  pos[m] = 2.78514  det(M) = 1.000160  0.998844  1.002130 
 103                    MEBT_Diag:Slit2:Y:0:UnifEllsSC:trMatrx  pos[m] = 2.81400  det(M) = 1.000169  0.998839  1.002139 
 104       MEBT:MEBT_Diag:Slit2:X:3:drift:0:UnifEllsSC:trMatrx  pos[m] = 2.83817  det(M) = 1.000177  0.998834  1.002148 
 105       MEBT:MEBT_Diag:Slit2:X:6:drift:0:UnifEllsSC:trMatrx  pos[m] = 2.86392  det(M) = 1.000183  0.998828  1.002159 
 106                        MEBT_Mag:QV11:2:UnifEllsSC:trMatrx  pos[m] = 2.88775  det(M) = 1.000188  0.998823  1.002169 
 107                        MEBT_Mag:QV11:5:UnifEllsSC:trMatrx  pos[m] = 2.91063  det(M) = 1.000188  0.998818  1.002179 
 108           MEBT:MEBT_Mag:QV11:1:drift:0:UnifEllsSC:trMatrx  pos[m] = 2.93350  det(M) = 1.000182  0.998813  1.002199 
 109           MEBT:MEBT_Mag:QV11:4:drift:0:UnifEllsSC:trMatrx  pos[m] = 2.96317  det(M) = 1.000166  0.998804  1.002236 
 110           MEBT:MEBT_Mag:QV11:7:drift:0:UnifEllsSC:trMatrx  pos[m] = 2.99283  det(M) = 1.000149  0.998795  1.002275 
 111                        MEBT_Mag:QH12:0:UnifEllsSC:trMatrx  pos[m] = 3.02250  det(M) = 1.000128  0.998786  1.002316 
 112                        MEBT_Mag:QH12:3:UnifEllsSC:trMatrx  pos[m] = 3.04538  det(M) = 1.000122  0.998780  1.002333 
 113                        MEBT_Mag:QH12:6:UnifEllsSC:trMatrx  pos[m] = 3.06825  det(M) = 1.000125  0.998775  1.002345 
 114           MEBT:MEBT_Mag:QH12:2:drift:0:UnifEllsSC:trMatrx  pos[m] = 3.09281  det(M) = 1.000116  0.998763  1.002395 
 115           MEBT:MEBT_Mag:QH12:5:drift:0:UnifEllsSC:trMatrx  pos[m] = 3.12075  det(M) = 1.000101  0.998744  1.002469 
 116           MEBT:MEBT_Mag:QH12:8:drift:0:UnifEllsSC:trMatrx  pos[m] = 3.14869  det(M) = 1.000084  0.998723  1.002547 
 117     MEBT:MEBT_RF:Bnch04:Rg01:3:drift:0:UnifEllsSC:trMatrx  pos[m] = 3.17663  det(M) = 1.000078  0.998754  1.002499 
 118     MEBT:MEBT_RF:Bnch04:Rg01:6:drift:0:UnifEllsSC:trMatrx  pos[m] = 3.20456  det(M) = 1.000076  0.998812  1.002389 
 119                        MEBT_Mag:QV13:0:UnifEllsSC:trMatrx  pos[m] = 3.23250  det(M) = 1.000072  0.998869  1.002284 
 120                        MEBT_Mag:QV13:3:UnifEllsSC:trMatrx  pos[m] = 3.25538  det(M) = 1.000067  0.998883  1.002232 
 121                        MEBT_Mag:QV13:6:UnifEllsSC:trMatrx  pos[m] = 3.27825  det(M) = 1.000062  0.998880  1.002208 
 122           MEBT:MEBT_Mag:QV13:2:drift:0:UnifEllsSC:trMatrx  pos[m] = 3.30283  det(M) = 1.000064  0.998923  1.002156 
 123           MEBT:MEBT_Mag:QV13:5:drift:0:UnifEllsSC:trMatrx  pos[m] = 3.33083  det(M) = 1.000069  0.998988  1.002091 
 124           MEBT:MEBT_Mag:QV13:8:drift:0:UnifEllsSC:trMatrx  pos[m] = 3.35883  det(M) = 1.000073  0.999047  1.002033 
 125                        MEBT_Mag:QH14:1:UnifEllsSC:trMatrx  pos[m] = 3.38513  det(M) = 1.000076  0.999097  1.001985 
 126                        MEBT_Mag:QH14:4:UnifEllsSC:trMatrx  pos[m] = 3.40800  det(M) = 1.000073  0.999124  1.001957 
 127                        MEBT_Mag:QH14:7:UnifEllsSC:trMatrx  pos[m] = 3.43088  det(M) = 1.000066  0.999138  1.001940 
 128           MEBT:MEBT_Mag:QH14:3:drift:0:UnifEllsSC:trMatrx  pos[m] = 3.45833  det(M) = 1.000054  0.999143  1.001928 
 129           MEBT:MEBT_Mag:QH14:6:drift:0:UnifEllsSC:trMatrx  pos[m] = 3.48808  det(M) = 1.000040  0.999147  1.001919 
 130          MEBT:MEBT_Diag:WS14:3:drift:0:UnifEllsSC:trMatrx  pos[m] = 3.51729  det(M) = 1.000026  0.999149  1.001914 
 131          MEBT:MEBT_Diag:WS14:6:drift:0:UnifEllsSC:trMatrx  pos[m] = 3.54621  det(M) = 1.000011  0.999149  1.001912 
 132          MEBT:MEBT_Diag:WS14:9:drift:0:UnifEllsSC:trMatrx  pos[m] = 3.57514  det(M) = 0.999996  0.999148  1.001912 
 133         MEBT:MEBT_Diag:WS14:12:drift:0:UnifEllsSC:trMatrx  pos[m] = 3.60407  det(M) = 0.999980  0.999146  1.001915 
 134                             MEBT_END:0:UnifEllsSC:trMatrx  pos[m] = 3.63300  det(M) = 0.999964  0.999142  1.001920 
 135                      DTL_Mag:PMQH100:4:UnifEllsSC:trMatrx  pos[m] = 3.65633  det(M) = 0.999951  0.999134  1.001924 
 136                    DTL_RF:Cav01:Rg01:0:UnifEllsSC:trMatrx  pos[m] = 3.67760  det(M) = 0.999950  0.999118  1.001940 
