Los Alamos National Laboratory Poisson Superfish
Program SF7 written by James H. Billen and Lloyd M. Young

The original Poisson Superfish codes were developed
by Ron F. Holsinger in collaboration with Klaus Halbach.
These programs are provided as a service to the accelerator
community by the Los Alamos Accelerator Code Group (LAACG).

(c) Copyright 1985-2005, by the Regents of the University of California.        
This software was produced under U. S. Government contract W-7405-ENG-36        
by Los Alamos National Laboratory, which is operated by the University          
of California for the U. S. Department of Energy.  Neither the Government       
nor the University makes any warranty, express or implied, or assumes           
any liability or responsibility for its use, or represents that use of          
this software would not infringe privately owned rights.                        
Unpublished - rights reserved under Copyright Laws of the United States.        


Program SF7  7.17  released 1-13-2006 

Program file: C:\LANL\SF7.EXE
SF.INI file: c:\USER\SHISHLO\SNS_Physics\Cavities_Filed_Calculations\MEBT\sfish\SF.INI  4-04-2003  16:43:54
Solution file C:\USER\SHISHLO\SNS_PHYSICS\CAVITIES_FILED_CALCULATIONS\MEBT\SFISH\SFIN-1_8CM.T35.
Memory used for SFIN-1_8CM.T35 arrays:     752.388 K
Reading keyword commands and data from file:
C:\USER\SHISHLO\SNS_PHYSICS\CAVITIES_FILED_CALCULATIONS\MEBT\SFISH\SFIN-1_8CM.IN7

Electromagnetic fields for a rectangular area with corners at:
(Zmin,Rmin) = (0.0,0.0)
(Zmax,Rmax) = (5.048,1.8)
Z and R increments:   200    50

      Z             R              Ez            Er            |E|           H 
    (cm)          (cm)           (MV/m)        (MV/m)        (MV/m)        (A/m) 
   1.41344       0.00000      1.580078E+00  0.000000E+00  1.580078E+00  0.000000E+00
   1.43868       0.00000      1.542352E+00  0.000000E+00  1.542352E+00  0.000000E+00
   1.46392       0.00000      1.505096E+00  0.000000E+00  1.505096E+00  0.000000E+00
   1.48916       0.00000      1.468308E+00  0.000000E+00  1.468308E+00  0.000000E+00
   1.51440       0.00000      1.433035E+00  0.000000E+00  1.433035E+00  0.000000E+00
   1.53964       0.00000      1.397235E+00  0.000000E+00  1.397235E+00  0.000000E+00
   1.56488       0.00000      1.361973E+00  0.000000E+00  1.361973E+00  0.000000E+00
   1.59012       0.00000      1.327250E+00  0.000000E+00  1.327250E+00  0.000000E+00
   1.61536       0.00000      1.293740E+00  0.000000E+00  1.293740E+00  0.000000E+00
   1.64060       0.00000      1.260131E+00  0.000000E+00  1.260131E+00  0.000000E+00
   1.66584       0.00000      1.227106E+00  0.000000E+00  1.227106E+00  0.000000E+00
   1.69108       0.00000      1.194665E+00  0.000000E+00  1.194665E+00  0.000000E+00
   1.71632       0.00000      1.163151E+00  0.000000E+00  1.163151E+00  0.000000E+00
   1.74156       0.00000      1.131902E+00  0.000000E+00  1.131902E+00  0.000000E+00
   1.76680       0.00000      1.101260E+00  0.000000E+00  1.101260E+00  0.000000E+00
   1.79204       0.00000      1.071224E+00  0.000000E+00  1.071224E+00  0.000000E+00
   1.81728       0.00000      1.041858E+00  0.000000E+00  1.041858E+00  0.000000E+00
   1.84252       0.00000      1.013050E+00  0.000000E+00  1.013050E+00  0.000000E+00
   1.86776       0.00000      9.848520E-01  0.000000E+00  9.848520E-01  0.000000E+00
   1.89300       0.00000      9.572648E-01  0.000000E+00  9.572648E-01  0.000000E+00
   1.91824       0.00000      9.301265E-01  0.000000E+00  9.301265E-01  0.000000E+00
   1.94348       0.00000      9.037668E-01  0.000000E+00  9.037668E-01  0.000000E+00
